Curso,Semestre,Disciplina
,,"Data Science, Machine Learning e Data Mining"
,,Rede de Computadores
,,Segurança Cibernética
,4º Semestre,Administração de Servidores e Data Center
,,Ferramentas de Desenvolvimento e Cloud Computing
,,Engenharia de Software
,,Garantia de Qualidade (Quality Assurance)
,,"Apresentações, Documentos e Planilhas Básico"
,,Projeto Integrador I: Planejamento de TI
,5º Semestre,Forense Computacional e Perícias Digitais (Eletiva)
,,Contêineres & Kubernetes (Eletiva)
,,Ética Hacking e Ransomware (Eletiva)
,,DevOps em Nuvem: Orquestração de Contêineres (Eletiva)
,,"Segurança, Recuperação de Desastres e Cloud Backup (Eletiva)"
,,Projeto Integrador II: Gestão de Projetos Ágeis
,6º Semestre,Atividades Complementares em Gestão I
,,Atividades Complementares em Gestão II
,,Elaboração do TCC I
,,Elaboração do TCC II
,,Apresentação e Defesa do TCC
,,Extensão Curricular (Experiência Prática)
---,---,---
Inteligência Artificial e Automação Digital,1º Semestre,Algoritmos e Lógica de Programação
,,Fundamentos de IA com foco em IA Generativa I
,,Fundamentos de IA com foco em IA Generativa II
,,Fundamentos de No-Code e Low-Code
,,Padrões Web para No-Code e Low-Code
,,Banco de Dados Visual e Ferramentas Integradas
,2º Semestre,Desenvolvimento de Aplicações Web Low Code I
,,Desenvolvimento de Aplicações Web Low Code II
,,Integração de API
,,Automação de Processos e Workflows I
,,Automação de Processos e Workflows II
,,Desenvolvimento de Aplicações e Automações com Low Code
,3º Semestre,IA Generativa Aplicada ao Desenvolvimento I
,,IA Generativa Aplicada ao Desenvolvimento II
,,IA Generativa Avançada
,,Designface e Interação IUX (UX/UI)
,,Métricas e Monitoramento de Aplicações Low Code
,,Infraestrutura e Segurança para Low Code
,4º Semestre,Metodologias Ágeis e Validação de Produtos
,,Fundamentos de Gestão de Projetos
,,Produtividade e Gestão de Tempo
,,Resolução de Problemas e Pensamento Crítico
,,Lógica de Programação Avançada
,,Projeto Integrador I: Prototipagem Low Code
,5º Semestre,Automação e Inteligência de Processos (BPM e RPA)
,,Cloud Computing e Ferramentas Integradas
,,Segurança e Compliance em Plataformas No/Low Code
,,Tendências em Automação e IA
,,Projeto Integrador II: Solução de Automação IA
,,Projeto Integrador III: Entrega de Produto Mínimo Viável (MVP)
,6º Semestre,Atividades Complementares em Inovação I
,,Atividades Complementares em Inovação II
,,Elaboração do TCC I
,,Elaboração do TCC II
,,Apresentação e Defesa do TCC
,,Extensão Curricular (Experiência Prática)
